Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Фесенко,Едуард,Максимович,Чоловіча,02-06-1952,Маркетолог,місто Глобине,"узвіз Дунаєвського, буд. 719 кв. 167, Слов'янськ, 72432",+380 40 778-72-29,klavdiia47@example.net
Фартушняк,Климент,Геннадійович,Чоловіча,24-09-1978,Фармацевт,селище Угнів,"сквер Йосипа Тимченка, буд. 61, Перевальськ, 37807",+380 74 190 44 20,zynoviimiroshnychenko@example.com
Стельмах,Прохір,Ярославович,Чоловіча,29-12-1967,Геофізик,село Олешки,"сквер Краснова, буд. 19 кв. 0, Куп'янськ, 39463",+380 61 361 01 76,tytarenkoorkhyp@example.org
Їжак,Данило,Євгенійович,Чоловіча,30-05-1985,Мінералог,село Дергачі,"сквер Каманіна, буд. 33, Ржищів, 55574",+380 53 170 79 89,azardakhno@example.org
Гайдабура,Тарас,Омелянович,Чоловіча,06-01-1986,Футболіст,селище Генічеськ,"провулок Лінія 45-та, буд. 730, Остер , 20607",031 607-70-04,violettaoliinyk@example.com
Бабенко,Леон,Богданович,Чоловіча,24-02-1946,Юрист,хутір Татарбунари,"шосе Отрадна, буд. 49 кв. 09, Кодима, 64059",+380 01 719 97 91,kamilla67@example.org
Дараган,Мартин,Тимофійович,Чоловіча,24-03-1939,Дипломат,місто Світловодськ,"сквер Листяний, буд. 865 кв. 61, Українка , 69292",002 648 97 33,cstus@example.org
Дахно,Левко,Глібович,Чоловіча,15-08-1943,Математик,селище Семенівка,"площа Тюльпанний, буд. 0, Галич, 65452",+380 40 243-90-49,achervonenko@example.com
Семенченко,Григорій,Гордійович,Чоловіча,05-01-1966,Складальник,село Виноградів,"вулиця Самарська, буд. 7 кв. 5, Долина , 91449",+380 17 064-17-14,dannadavymuka@example.net
Ґжицький,Ілля,Дмитрович,Чоловіча,20-01-1956,Ботанік,селище Алчевськ,"узвіз Сьома, буд. 298, Чугуїв, 21527",+380 (33) 568-43-52,stanislav17@example.com
Алексійчук,Данило,Симонович,Чоловіча,03-10-1944,Економіст,село Вознесенівка,"набережна Заводська, буд. 53 кв. 25, Глобине, 73175",099 314-96-03,bebeshkobohuslav@example.com
Дергач,Георгій,Назарович,Чоловіча,08-04-1969,Водій,село Дубно,"площа Шота Руставелі, буд. 73, Гуляйполе, 65193",673-33-48,viktoriia10@example.org
Верес,Руслан,Мирославович,Чоловіча,12-03-1966,Дипломат,селище Глобине,"площа Крутоярська, буд. 2, Богодухів, 60882",053 108-07-39,maryna01@example.com
Затула,Азар,Микитович,Чоловіча,02-11-1968,Ріелтор,місто П'ятихатки,"узвіз Базарна, буд. 50 кв. 6, Горішні Плавні, 48626",+380 87 422-93-28,ihnatpavlenko@example.net
Алексеєнко,Теодор,Адамович,Чоловіча,05-10-1961,Маркетолог,село Мар'їнка,"парк Офіцерський 2-й, буд. 856, Ромни, 40588",+380 (45) 277-22-54,opanasverkhovynets@example.net
Сацюк,Ростислав,Вʼячеславович,Чоловіча,13-11-1953,Секретар,хутір Умань,"шосе Центральна, буд. 05, Болград, 62962",+380 84 919 26 34,priskabezborodko@example.org
Чубай,Омелян,Теодорович,Чоловіча,23-04-1969,Програміст,селище Соснівка ,"вулиця Спиридонівська, буд. 8 кв. 37, Снятин, 78351",695-39-93,bohodarfartushniak@example.com
Андрійович,Остап,Охрімович,Чоловіча,08-11-1981,Каскадер,село Ромни,"провулок Виноградна 1-ша, буд. 49 кв. 2, Олександрівськ, 34045",031 746-84-31,cbashpolchenko@example.org
Данько,Альберт,Михайлович,Чоловіча,23-11-1957,Підприємець,хутір Зеленодольськ,"сквер Шефська, буд. 9 кв. 233, Іллінці, 85638",+380 21 270-29-00,bkyrylenko@example.com
Даньків,Михайло,Зорянович,Чоловіча,21-06-1993,Правник,селище Обухів,"провулок Наявний 2-й, буд. 1, Світлодарськ, 23011",616-87-62,iaroslavavashchenko-zakharchenko@example.org
Калениченко,Ілля,Єлисейович,Чоловіча,19-05-1995,Доцент,селище Белз,"проспект Щукіна, буд. 606, Славута, 88269",031 426-42-79,iatseniukstepan@example.org
Чумак,Франц,Назарович,Чоловіча,01-01-1985,Письменник,село Гайсин,"шосе Вапняний 3-й, буд. 40 кв. 395, Вишневе , 71260",+380 73 191-96-19,hannazakusylo@example.org
Шухевич,Демʼян,Сергійович,Чоловіча,07-08-1980,Акушер,хутір Алушта,"шосе Москеті, буд. 902, Сватове, 53504",+380 (74) 529-03-31,iukhymverhun@example.com
Іващенко,Пантелеймон,Олесьович,Чоловіча,09-09-1947,Продюсер,селище Вознесенівка,"вулиця Глазунова 2-й, буд. 6, Торецьк, 04697",953-56-16,valeriinikoliuk@example.net
Бабариченко,Марко,Артемович,Чоловіча,12-09-2006,Дерун,хутір Феодосія,"площа Пілотна, буд. 32 кв. 95, Новодністровськ, 61918",+380 46 127-42-09,vira59@example.net
Ткач,Дмитро,Демидович,Чоловіча,31-01-1958,Конструктор,хутір Ічня,"набережна Академіка Вільямса, буд. 5 кв. 05, Самбір, 90320",076 755-33-26,lysenkokostiantyn@example.com
Артеменко,Макар,Яремович,Чоловіча,18-11-2000,Клоун,місто Нікополь,"набережна Восьмого березня, буд. 782, Іллінці, 96294",044 573 11 04,dziubaalbert@example.com
Базилевич,Володимир,Ігорович,Чоловіча,22-01-1992,Етнограф,селище Теплодар,"сквер Отрада, буд. 0 кв. 8, Чугуїв, 38691",027 812 01 96,venedykt88@example.org
Чміль,Юстим,Валерійович,Чоловіча,07-05-1991,Детектив,селище Могилів-Подільський,"сквер Стахановський 4-й, буд. 6, Гірське, 54247",024-64-67,onysym43@example.org
Баран,Спас,Яремович,Чоловіча,13-01-1986,Кур'єр,село Скадовськ,"проспект Амундсена, 1-й, буд. 097 кв. 4, Верхньодніпровськ, 95314",+380 60 374-57-60,venedykt96@example.com
Яременко,Августин,Вʼячеславович,Чоловіча,07-08-1944,Зоолог,місто Ровеньки,"проспект Гранатний, буд. 250 кв. 145, Чорнобиль, 45245",+380 08 978-16-38,tsushkorozaliia@example.org
Штокало,Ростислав,Федорович,Чоловіча,16-02-1955,Гінеколог,селище Кобеляки,"парк Кредитний, буд. 11, Хотин, 21581",071 982-87-47,vkanivets@example.net
Забіла,Юхим,Русланович,Чоловіча,07-01-1945,Гірничий інженер,селище Добромиль,"шосе Травневий 3-й, буд. 46, Донецьк, 27240",+380 (20) 156-09-38,askyrda@example.com
Комар,Степан,Ярославович,Чоловіча,27-09-2002,Етнограф,село Сквира,"проспект Текстильників, буд. 7, Бобринець, 29960",+380 31 611-92-46,ovcharenkovalentyn@example.org
Височан,Богдан,Лукʼянович,Чоловіча,05-05-1981,Кіноактор,село Корюківка,"проспект Отрада, буд. 76 кв. 864, Кременець, 29581",928 55 88,klavdiiaiurchuk@example.com
Баранник,Азар,Віталійович,Чоловіча,09-08-1962,Мовознавець,місто Вашківці,"сквер Академіка Глушка, буд. 767 кв. 84, Тячів, 85211",+380 69 158-37-51,artem04@example.net
Верес,Симон,Владиславович,Чоловіча,26-08-1967,Каскадер,селище Монастирище,"шосе Махачкалинська, буд. 051 кв. 8, Переяслав, 72352",+380 (34) 963-87-59,darynaiemets@example.com
Палій,Кирило,Андрійович,Чоловіча,16-12-1957,Ґрунтознавець,хутір Чорнобиль,"проспект Красний, буд. 53 кв. 5, Бахмут, 19880",464 61 67,rishchenko@example.org
Акуленко,Данило,Устимович,Чоловіча,10-11-1950,Провізор,селище Козятин,"сквер Леха Качинського, буд. 09, Сарни, 02216",010 017 08 92,vzhadan@example.org
Жарко,Валентин,Веніяминович,Чоловіча,19-12-1958,Агроном,хутір Балта,"шосе Академіка Вавилова, буд. 3 кв. 6, Переяслав, 98613",063 251 34 21,havryloiesypenko@example.net
Супруненко,Теодор,Августинович,Чоловіча,18-09-1965,Доцент,місто Чернівці,"сквер Травневий 5-й, буд. 3, Інкерман, 95062",179 58 93,pivanychuk@example.org
Закусило,Яків,Трохимович,Чоловіча,02-11-1993,Науковець,хутір Пустомити,"проспект Лиманчик 2-й Лінія 5-та, буд. 518 кв. 42, Білозерське, 27950",+380 51 634-79-28,uzakharchenko@example.net
Вишиваний,Гліб,Трохимович,Чоловіча,13-01-1960,Патологоанатом,хутір Угнів,"набережна Шишкіна 3-й, буд. 335, Харків, 65689",+380 (01) 428-43-92,ygerus@example.com
Копитко,Віктор,Охрімович,Чоловіча,01-02-1954,Гірник,хутір Алчевськ,"проспект Молокова, буд. 2 кв. 19, Дунаївці, 22607",071 757 29 99,leopoldskorobohatko@example.net
Тарасенко,Богдан,Леонідович,Чоловіча,30-12-1963,Сантехнік,місто Червоносів,"шосе Новощіпний ряд, буд. 7, Первомайськ, 82299",+380 76 167-47-09,ftverdokhlib@example.org
Черненко,Ігор,Ігнатович,Чоловіча,21-01-1992,Правник,місто Українка ,"сквер Левкоєва, буд. 764 кв. 515, Бобринець, 92540",+380 30 883 61 28,iieroshenko@example.net
Бездітко,Іван,Юстимович,Чоловіча,15-05-1971,Соціолог,село Нікополь,"парк Псковський, буд. 48, Лубни, 73961",635 33 43,iaryna64@example.net
Алексеєнко,Олександр,Леопольдович,Чоловіча,21-02-1962,Доцент,селище Брянка,"парк Шовкуненка, буд. 8, Василівка , 10684",+380 59 154-99-67,zoriankanivets@example.com
Лавренко,Роман,Пантелеймонович,Чоловіча,24-02-1946,Фізик,селище Одеса,"провулок Злакова, буд. 3 кв. 56, Здолбунів, 03618",643-00-60,vladyslav47@example.org
Примаченко,Артем,Валентинович,Чоловіча,19-11-1993,Модель,село Івано-Франківськ,"шосе Флотський 1-й, буд. 24 кв. 32, Угнів, 06289",097 536 13 84,roksolana22@example.net
Стус,Артем,Ростиславович,Чоловіча,30-06-1993,Науковець,село Суми,"провулок Михайлівська, буд. 7 кв. 4, Березань , 87330",970 87 90,nvovk@example.org
Алексюк,Ростислав,Макарович,Чоловіча,24-01-1948,Кінорежисер,селище Буськ,"провулок Гагаріна, буд. 04, Лиман , 63817",+380 00 382 77 27,jizhakevych@example.org
Пилипенко,Веніямин,Вікторович,Чоловіча,10-12-1968,Ріелтор,селище Славута,"сквер Плієва, буд. 2 кв. 56, Тальне, 39651",091 17 38,udovenkohalyna@example.com
Бабариченко,Тимофій,Давидович,Чоловіча,07-07-1946,Медик,хутір Галич,"сквер Кільовий, буд. 17, Кілія, 20722",+380 07 981-18-25,roman30@example.com
Бабенко,Володимир,Прохорович,Чоловіча,19-06-1942,Дизайнер,хутір Березівка,"провулок Софіївська, буд. 88, Білогірськ, 15517",+380 (92) 070-79-13,okseniia49@example.net
Литвин,Олександр,Володимирович,Чоловіча,20-12-1964,Історик,хутір Кам'янка (Черкаська область),"площа Партизанська, буд. 96 кв. 75, Мена , 94237",+380 76 889-77-30,liubov22@example.com
Величко,Гліб,Орхипович,Чоловіча,20-08-1966,Державний службовець,село Святогірськ,"набережна Черепанових, буд. 539 кв. 365, Красилів, 47016",+380 67 415 29 17,xdankiv@example.com
Кащенко,Хома,Васильович,Чоловіча,05-04-1944,Програміст,селище Вознесенівка,"вулиця Сумський, буд. 25, Лубни, 31676",179 09 44,hakymenko@example.org
Верхола,Дмитро,Степанович,Чоловіча,24-07-1970,Випробувач,хутір Токмак,"вулиця Чернівецький, буд. 373 кв. 54, Люботин, 95389",+380 66 099-84-98,leskovalenko@example.com
Вахній,Костянтин,Назарович,Чоловіча,19-08-1989,Кінолог,місто Шаргород,"провулок Нафтовиків 3-й, буд. 6 кв. 44, Родинське, 61890",997-77-19,skopenkoveniiamyn@example.com
Матяш,Андрій,Володимирович,Чоловіча,09-10-1970,Єгер,селище Сватове,"сквер Вокзальна, буд. 976 кв. 06, Косів, 59154",+380 76 961-27-87,tarasgerus@example.net
Зарудний,Юстим,Валерійович,Чоловіча,21-04-1962,Пекар,селище Красногорівка,"набережна Гвоздична, буд. 07, Нововолинськ, 42535",048 642-21-50,valentyna81@example.net
Гайденко,Лукʼян,Варфоломійович,Чоловіча,04-09-2004,Штукатур,місто Хоростків,"парк Моторний 1-й, буд. 7, Бар, 30430",+380 32 068-92-77,avreliitelychenko@example.com
Затула,Владислав,Михайлович,Чоловіча,22-06-1957,Прокурор,хутір Хуст,"вулиця Жоліо-Кюрі, буд. 206 кв. 589, Дунаївці, 28759",+380 38 299-33-48,qskyba@example.com
Алексійчук,Зорян,Яремович,Чоловіча,30-01-1991,Правник,місто Новомосковськ,"парк Рульовий, буд. 159, Берегове, 53606",+380 86 074 14 24,fesenkoiefrem@example.org
Коваленко,Георгій,Вадимович,Чоловіча,01-07-1975,Бізнесмен,село Кадіївка,"вулиця Лермонтовський, буд. 306 кв. 484, Сєвєродонецьк, 12784",+380 32 016-58-51,anton20@example.org
Габелко,Остап,Соломонович,Чоловіча,30-11-1954,Ді-джей,місто Добромиль,"узвіз Амурський 3-й, буд. 1, Васильків, 71044",928 15 48,trokhym09@example.org
Бабійчук,Орхип,Юхимович,Чоловіча,05-06-1972,Водій,хутір Тернівка ,"узвіз Лінія 40-ва, буд. 3 кв. 00, Заводське, 12693",+380 97 704-00-63,milenachala@example.net
Дараган,Павло,Владиславович,Чоловіча,01-06-1950,Кінорежисер,село Хуст,"парк Товарний, буд. 583 кв. 7, Рудки, 10410",+380 46 100 90 18,heorhiiievtushenko@example.org
Проценко,Станіслав,Августинович,Чоловіча,19-04-1943,Мікробіолог,село Біла Церква,"площа Деволанівська, буд. 4 кв. 0, Славутич, 66295",+380 (98) 500-96-27,hvelychko@example.org
Приймак,Онисим,Васильович,Чоловіча,05-04-1973,Професор,хутір Федорівка,"вулиця 411-ї батареї, буд. 637, Красилів, 18420",+380 34 133 11 09,bivashchenko@example.org
Корбут,Леопольд,Данилович,Чоловіча,13-12-1949,Музикант,селище Бережани,"сквер Зої Космодем’янської, буд. 345 кв. 201, Миронівка, 44928",947 39 30,mykolaistus@example.com
Бабич,Давид,Єлисейович,Чоловіча,09-03-1977,Мікробіолог,селище Підгородне,"вулиця Перемоги, буд. 65, Довжанськ, 11290",029 079-33-78,halynadzhus@example.net
Ващенко,Мирон,Микитович,Чоловіча,12-09-1985,Дизайнер,хутір Привілля,"шосе Метрополітенівський, буд. 49, Кам'янка (Черкаська область), 64271",+380 50 669 42 83,zmalyshko@example.org
Алексійчук,Єлисей,Васильович,Чоловіча,01-09-1977,Режисер,селище Нововолинськ,"провулок Тепла, буд. 290, Світлодарськ, 72001",+380 (84) 821-72-66,orestvdovychenko@example.com
Абрамчук,Стефан,Захарович,Чоловіча,24-08-1973,Секретар,село Новомосковськ,"площа Новгородський, буд. 1 кв. 90, Чуднів, 66018",613 10 87,rhabelko@example.net
Пʼятаченко,Костянтин,Демидович,Чоловіча,09-11-1938,Машиніст,село Батурин,"площа Горбиста, буд. 98 кв. 380, Слов'янськ, 36571",437 61 15,skorykostap@example.org
Фесенко,Азар,Омелянович,Чоловіча,16-06-1961,Шериф,місто Рудки,"площа Грибоєдова, буд. 83, Великі Мости, 52540",+380 84 816-96-90,mykhailyna43@example.org
Данькевич,Азар,Єлисейович,Чоловіча,17-07-1955,Провізор,село Судак ,"шосе Кримський, буд. 84, Святогірськ, 48851",013 634-11-30,ieromenkoiefrem@example.net
Гук,Пилип,Прохорович,Чоловіча,10-03-1982,Стиліст,хутір Географія Вільнянська,"площа Чайковського, буд. 156 кв. 2, Хотин, 66995",+380 20 863 24 97,ostap27@example.net
Дацюк,Данило,Ігорович,Чоловіча,14-09-1958,Кур'єр,село Первомайський ,"парк Канатний, буд. 885, Тульчин, 55139",063 026-53-91,iefremzaika@example.net
Вакарчук,Андрій,Юхимович,Чоловіча,29-05-1999,Правник,хутір Острог,"узвіз Учнівська, буд. 321 кв. 94, Шостка, 70227",+380 43 409-82-47,piatachenkoiaroslav@example.net
Удовенко,Артем,Аркадійович,Чоловіча,16-07-1987,Адвокат,селище Горлівка,"сквер Шухевича Романа, буд. 879, Вишгород, 34196",+380 (57) 275-60-01,hoholleonid@example.com
Скирда,Ростислав,Августинович,Чоловіча,16-01-1969,Ветеринар,хутір Тульчин,"парк Бокаріуса Миколи, буд. 81, Судак , 82667",052 758-44-94,fpalii@example.net
Оробець,Остап,Лукʼянович,Чоловіча,11-05-1981,Географ,селище Південне ,"сквер Слєпньова, буд. 8 кв. 73, Новгород-Сіверський, 46834",+380 56 115-56-67,virabaidak@example.net
Авраменко,Володимир,Миколайович,Чоловіча,18-02-1974,Прокурор,село Рахів,"парк Пересипський 2-й, буд. 744, Судак , 64218",+380 53 005-97-50,zabaravarvara@example.net
Лаба,Олесь,Симонович,Чоловіча,01-11-1938,Дерун,село Деражня,"сквер Амбулаторний 2-й, буд. 82, Євпаторія, 34888",050-69-31,kkarpa@example.org
Коваленко,Артем,Юхимович,Чоловіча,28-05-2005,Графік,село Устилуг,"сквер Амундсена, 2-й, буд. 86, Судак , 07549",+380 70 472 99 04,dutkavolodymyra@example.net
Редько,Марко,Омелянович,Чоловіча,05-02-1988,Дизайнер,село Знам'янка,"сквер Леха Качинського, буд. 1, Ялта, 17664",024 743 56 88,andriiovychaaron@example.com
Вакарчук,Василь,Симонович,Чоловіча,09-08-1983,Детектив,село Нове Давидково,"проспект Привозна, буд. 293, Ізюм, 52420",047 188 79 33,sviatoslavazakusylo@example.org
Савенко,Левко,Миколайович,Чоловіча,12-05-1963,Кіноактор,місто Середина-Буда,"узвіз Заводська 5-та, буд. 930, Сколе, 64521",+380 (11) 766-27-15,priskamedvedenko@example.org
Сірченко,Ярема,Соломонович,Чоловіча,30-03-1943,Агроном,хутір Слов'янськ,"проспект Змієнка Всеволода, буд. 818, Судова Вишня, 94608",084 995 12 50,szinchuk@example.org
Товстоліс,Степан,Мирославович,Чоловіча,03-07-2006,Програміст,село Ватутіне,"проспект Локомотивний 3-й, буд. 31 кв. 5, Курахове, 90939",+380 11 089 44 06,vdovychenkodaryna@example.net
Чуйко,Теодор,Ігнатович,Чоловіча,11-08-1962,Гінеколог,селище Судак ,"сквер Бугаївська, буд. 2, Дебальцеве, 52629",092 092-55-77,riabchenkostefan@example.com
Микитюк,Аврелій,Ярославович,Чоловіча,24-03-1952,Громадський діяч,село Вугледар,"проспект Маринеско узвіз, буд. 576 кв. 314, Костянтинівка, 25124",080 439-54-27,larysaokhrymovych@example.org
Цюцюра,Левко,Симонович,Чоловіча,05-03-2001,Електротехнік,місто Надвірна,"площа Кедровий, буд. 62, Гнівань, 30666",988 37 62,levkofomenko@example.net
Непорожній,Леопольд,Гордійович,Чоловіча,22-03-1986,Агроном,село Шпола,"набережна Килимовий, буд. 08, Борщів, 43519",+380 (72) 206-63-79,nestorkalchenko@example.org
Бабиченко,Руслан,Вадимович,Чоловіча,15-09-1961,Математик,місто Гайворон,"узвіз Якірний, буд. 85, Богуслав, 40280",+380 65 154-95-23,edytatovstolis@example.net
Деркач,Олесь,Азарович,Чоловіча,15-09-1942,Філолог,місто Святогірськ,"площа Локомотивний 1-й, буд. 3 кв. 09, Голубівка, 83064",+380 58 123-82-30,okhrimperepelytsia@example.org
Удовенко,Мирон,Микитович,Чоловіча,21-07-1995,Краєзнавець,селище Охтирка,"провулок Лузанівський 2-й, буд. 188 кв. 3, Ладижин, 32896",416 27 81,jkylymnyk@example.com
Оніщук,Сергій,Ігнатович,Чоловіча,27-03-1974,Геолог,селище Ізмаїл,"вулиця Ялинкова, буд. 647, Ізяслав, 82049",+380 05 375-25-69,semen30@example.com
Кабалюк,Аврелій,Бориславович,Чоловіча,01-06-1982,Нотаріус,хутір Ірміно,"площа Польова, буд. 856, Кам'янка-Бузька, 37353",643 05 10,iesypenkokostiantyn@example.net
Зубко,Аарон,Мирославович,Чоловіча,09-08-1947,Ветеринар,село Тростянець,"провулок Верещагіна, буд. 8 кв. 46, Олевськ, 05645",825 33 88,prytulasvitlana@example.com
Деркач,Прохір,Миколайович,Чоловіча,14-11-1942,Ріелтор,хутір Рахів,"площа Юхима Фесенка, буд. 16 кв. 2, Мелітополь, 17955",023 105-67-27,parasiukmariana@example.org
Жадан,Микита,Богодарович,Чоловіча,20-12-1961,Астрофізик,хутір Косів,"проспект Мацієвської узвіз, буд. 39 кв. 0, Мар'їнка, 30587",300 52 92,orkhypsatsiuk@example.org
Дзиндра,Богдан,Веніяминович,Чоловіча,24-08-1974,Клоун,село Макіївка,"шосе Державіна, буд. 6 кв. 0, Соснівка , 69426",465 34 85,solomonvermenych@example.net
Александренко,Вʼячеслав,Семенович,Чоловіча,04-12-1952,Шериф,хутір Сміла,"проспект Церковна, буд. 9 кв. 094, Полтава, 45454",+380 73 657-57-36,dshcherbak@example.net
Аврамчук,Єлисей,Болеславович,Чоловіча,30-07-1949,Нотаріус,село Новгород-Сіверський,"парк Волоколамська, буд. 670, Берислав, 82689",059 709-53-17,ndanylchuk@example.com
Даньків,Єфрем,Кирилович,Чоловіча,29-01-1958,Гірничий інженер,місто Кремінна,"парк Олександра Невського 1-й, буд. 5, Глиняни, 67475",+380 66 454-74-46,rpoltavets@example.com
Носаченко,Макар,Вадимович,Чоловіча,03-06-1962,Клавішник,селище Добропілля,"сквер Болградська, буд. 4 кв. 191, Молодогвардійськ, 65269",+380 55 634-28-43,semenchenkomykhailyna@example.com
Височан,Мирон,Теодорович,Чоловіча,15-05-2006,Детектив,місто Зміїв,"площа Капітана Гаврікова, буд. 180, Алмазна, 34523",024 145 60 61,solomonkhorishko@example.org
Гаєвська,Орест,Павлович,Чоловіча,19-04-1969,Вчитель,село Винники,"парк Радісний, буд. 473, Боярка, 79137",058 012 16 82,nazar73@example.org
Оробець,Феофан,Ааронович,Чоловіча,03-05-1953,Няня,селище Борщів,"набережна Травневий 1-й, буд. 488 кв. 44, Валки , 57811",837 71 22,ruslan78@example.org
Венгринович,Симон,Бориславович,Чоловіча,25-07-1993,Письменник,хутір Торецьк,"сквер Чорноморський 8-й, буд. 3 кв. 27, Соледар, 27758",071 427 65 16,bdankevych@example.org
Чміль,Леонід,Григорійович,Чоловіча,21-08-1961,Кінорежисер,місто Берестечко,"вулиця Трамвайний, буд. 1, Чорнобиль, 86011",+380 03 110-70-54,ukovaliuk@example.org
Вітрук,Едуард,Мартинович,Чоловіча,24-09-1944,Стиліст,село Перевальськ,"набережна Садова 6-та, буд. 84 кв. 097, Кагарлик, 72367",815-07-88,marynaiesypenko@example.com
Примаченко,Олесь,Варфоломійович,Чоловіча,25-12-1981,Астроном,селище Ямпіль,"провулок Цегляна, буд. 356 кв. 7, Узин, 54796",032 329-30-86,serhiiilienko@example.com
Андрієнко,Станіслав,Захарович,Чоловіча,23-04-1951,Водій,хутір Львів,"проспект Розкидайлівська, буд. 46 кв. 0, Дергачі, 10847",+380 30 730-31-74,ffastenko@example.net
Яковенко,Євген,Семенович,Чоловіча,17-02-1994,Економіст,місто Ірпінь,"проспект Єфімова, буд. 4 кв. 4, Трускавець, 21693",+380 20 582 30 56,derehusborys@example.com
Стус,Тимофій,Альбертович,Чоловіча,26-09-1996,Антрополог,селище Сарни,"сквер Рівності 2-й, буд. 637 кв. 4, Жовті Води, 43162",+380 62 065-73-33,gvakhnii@example.net
Рудько,Михайло,Ааронович,Чоловіча,23-02-1997,Флорист,село Олександрівськ,"провулок Композитора Глинки, буд. 3 кв. 95, Чорноморськ, 57284",+380 85 687-43-15,dbaidak@example.net
Архимович,Микита,Іванович,Чоловіча,19-03-1945,Водій,місто Білгород-Дністровський,"парк Моторна, буд. 172 кв. 1, Погребище, 03832",034 017 61 47,klevchenko@example.org
Василечко,Назар,Юхимович,Чоловіча,27-10-1996,Флорист,місто Чернівці,"проспект Краснослобідський, буд. 8, Моспине, 93640",+380 (68) 965-69-10,ihnat58@example.com
Цушко,Зиновій,Захарович,Чоловіча,26-10-1946,Агроном,селище Алчевськ,"парк Тираспольська, буд. 4, Ватутіне, 13600",785 14 28,kostiantynkhmara@example.org
Рудько,Данило,Тимофійович,Чоловіча,10-02-1985,Няня,селище Тараща,"узвіз Яблунева, буд. 289, Львів, 28225",+380 30 283 69 72,hshevchenko@example.com
Мазепа,Болеслав,Миронович,Чоловіча,10-02-2005,Музикознавець,місто Полтава,"вулиця Рєпіна, буд. 184, Лозова , 74189",015 943-62-59,wandriievych@example.com
Якимчук,Володимир,Святославович,Чоловіча,24-04-1998,Музичний редактор,місто Феодосія,"площа Парусна, буд. 3 кв. 3, Новий Буг, 66047",+380 30 023-33-80,gshelest@example.net
Лаба,Ігор,Остапович,Чоловіча,27-12-1950,Кінорежисер,місто Андрушівка,"проспект Селищна, буд. 6 кв. 640, Герца, 26290",+380 (43) 514-80-13,marianaromanchuk@example.net
Рудик,Федір,Тарасович,Чоловіча,05-01-1947,Прокурор,село Миколаївка ,"вулиця Павла Кравцова, буд. 6 кв. 97, Новоселиця, 04159",+380 (44) 535-67-62,halynaaleksiichuk@example.org
Ковпак,Арсен,Панасович,Чоловіча,09-02-1948,Філолог,село Черкаси,"проспект Бітумна, буд. 88, Тиврів, 65452",042 217-15-16,nadiiadevdiuk@example.net
Ящук,Панас,Кирилович,Чоловіча,15-09-1971,Штукатур,село Довжанськ,"набережна Володі Дубініна, буд. 0, Білицьке, 58925",064 888 94 82,zbaturynets@example.net
Доценко,Семен,Охрімович,Чоловіча,19-06-1979,Пілот,хутір Снятин,"парк Чубаївський, буд. 0 кв. 94, Кам'янець-Подільський, 31239",036 040-31-88,usykhlib@example.org
Царенко,Богуслав,Августинович,Чоловіча,29-01-1959,Дипломат,село Макіївка,"площа Різницький, буд. 80 кв. 452, Семенівка, 65393",058 104-42-94,nsavenko@example.net
Шморгун,Тимофій,Панасович,Чоловіча,30-06-1957,Професор,хутір Моспине,"парк Махачкалинська, буд. 736, Вижниця, 28903",+380 42 974-70-08,karmaliukmykyta@example.net
